month,deposits_m,loans_m,delinquency_rate,digital_adoption_rate,data_status
Jan 2025,1302,1051,0.0142,0.610,SYNTHETIC
Feb 2025,1310,1060,0.0141,0.615,SYNTHETIC
Mar 2025,1321,1072,0.0138,0.622,SYNTHETIC
Apr 2025,1330,1080,0.0137,0.631,SYNTHETIC
May 2025,1344,1092,0.0134,0.638,SYNTHETIC
Jun 2025,1352,1101,0.0133,0.645,SYNTHETIC
Jul 2025,1363,1110,0.0130,0.653,SYNTHETIC
Aug 2025,1371,1118,0.0128,0.661,SYNTHETIC
Sep 2025,1384,1129,0.0126,0.668,SYNTHETIC
Oct 2025,1396,1138,0.0123,0.676,SYNTHETIC
Nov 2025,1407,1147,0.0121,0.684,SYNTHETIC
Dec 2025,1418,1156,0.0118,0.690,SYNTHETIC
